" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits",Interchanges
5131,157647.808,222390.79,860220.4455,1240259.0435,120499.137,222672.561,860220.4455,1203392.1435,2443651.187,
3813,17257,18634,21816.5,57707.5,16850,18705,21816.5,57371.5,115079,
3803,7335,14614,3885,25834,7670,14625,3885,26180,52014,
3801,7146,17877,8090,33113,8027,17877,8090,33994,67107,
3982,26086,68150,36670,130906,24499,68169,36670,129338,260244,
8976,221118,511829,83704,816651,195784,511563,83704,791051,1607702,147085
9090,14389,20036,16782,51207,15516,20040,16782,52338,103545,
4435,4227,5857,160,10244,4569,6057,160,10786,21030,
4440,283,39,0,322,362,51,0,413,735,
3602,30372,76368,18441,125181,33869,76291,18441,128601,253782,
2448,7938,22054,4955.5,34947.5,10056,22148,4955.5,37159.5,72107,
4303,24283,77845,1285,103413,22297,76331,1285,99913,203326,1059
2552,38283,53909,10429,102621,43416,54232,10429,108077,210698,
8600,74,25,0,99,49,25,0,74,173,
8601,657,506,0,1163,645,511,0,1156,2319,
8602,78,115,0,193,173,115,0,288,481,
7662,363,27,639,1029,315,28,639,982,2011,
7286,9869,14028,2284.5,26181.5,11922,15843,2284.5,30049.5,56231,
4529,33832,30708,1072,65612,32815,30747,1072,64634,130246,
2287,1291,550,236,2077,1313,555,236,2104,4181,
1404,46246.088,70773.92,176848.7585,293868.7665,74233.028,70339.979,176848.7585,321421.7655,615290.532,
3000,23156.637,22886.62,143050.937,189094.194,21882.703,23186.517,143050.937,188120.157,377214.351,
1036,6728,9062,92,15882,6808,9115,92,16015,31897,
9310,1253,1266,618,3137,1455,1268,618,3341,6478,
5550,34027,32210,44029,110266,33892,32365,44029,110286,220552,
5160,3466,4410,16377,24253,4345,4494,16377,25216,49469,
2939,3495,2808,780,7083,3813,2816,780,7409,14492,
2641,25767,11352,12114,49233,26508,11401,12114,50023,99256,
8353,33358,30815,6775.5,70948.5,29305,30095,6775.5,66175.5,137124,
2255,36369,33594,1102,71065,38004,31764,1102,70870,141935,
2350,46435,70157,1603,118195,44719,65090,1603,111412,229607,
2125,54628,72158,1252,128038,52578,74126,1252,127956,255994,
9695,11429,9293,2210.5,22932.5,11488,9305,2210.5,23003.5,45936,
9759,135589,129723,169732,435044,141751,129740,169732,441223,876267,
5132,54137.053,42744.837,244251.9915,341133.8815,46491.974,42941.837,244251.9915,333685.8025,674819.684,
4614,9419,6533,4217.5,20169.5,10016,6567,4217.5,20800.5,40970,
2760,27394,22195,9215.5,58804.5,27773,22214,9215.5,59202.5,118007,
3145,8359,5830,9350,23539,9471,5958,9350,24779,48318,
5623,139626,234914,135208.5,509748.5,137620,238591,135208.5,511419.5,1021168,75418
5280,11822,13626,14677.5,40125.5,14420,14357,14677.5,43454.5,83580,
6025,51663.509,46071.447,153521.229,251256.185,40190.503,46884.248,153521.229,240595.98,491852.165,95039
9905,19773,13466,6540.5,39779.5,23045,13471,6540.5,43056.5,82836,
9861,54278,57615,41449.5,153342.5,55671,57609,41449.5,154729.5,308072,
1805,24052,35265,6727,66044,25010,35756,6727,67493,133537,
7520,9546,4965,5188,19699,9296,4963,5188,19447,39146,
2214,2228,2191,730,5149,2986,2461,730,6177,11326,
8605,932,354,66.5,1352.5,1013,356,66.5,1435.5,2788,
7787,8200,26329,10597.5,45126.5,8963,26366,10597.5,45926.5,91053,638
6847,1742,8742,12819.5,23303.5,2592,8837,12819.5,24248.5,47552,
1223,9029,4567,1559,15155,10303,4673,1559,16535,31690,
6869,1468,4288,17824,23580,2018,6161,17824,26003,49583,
6532,978,848,376.5,2202.5,980,849,376.5,2205.5,4408,
8606,40,0,0,40,81,0,0,81,121,
5544,53930,72920,88325,215175,52701,74137,88325,215163,430338,
2806,35189,48687,10883,94759,37894,49047,10883,97824,192583,2
1198,20673,7091,570,28334,31376,7199,570,39145,67479,
1678,3936,6049,1415,11400,3982,5987,1415,11384,22784,
5250,2208,10611,3671,16490,3200,11158,3671,18029,34519,
4236,2286,2519,15.5,4820.5,2320,2546,15.5,4881.5,9702,
6358,1144,250,733.5,2127.5,1717,251,733.5,2701.5,4829,
9965,39200,14489,45843.5,99532.5,36289,14487,45843.5,96619.5,196152,
5510,80874,140991,155989,377854,81736,145227,155989,382952,760806,1234
5397,20740.037,30568.2,70684.487,121992.724,17054.593,33136.202,70684.487,120875.282,242868.006,
6909,1665.107,790,2293.948,4749.055,5979.766,1735,2293.948,10008.714,14757.769,
5267,32494,97759,61780,192033,30875,99817,61780,192472,384505,
9451,4100,31181,2390,37671,4205,31572,2390,38167,75838,
9972,119353,71401,75307,266061,126125,71400,75307,272832,538893,
2662,9043,6991,594.5,16628.5,9052,7048,594.5,16694.5,33323,
2052,20477,3257,5670,29404,21111,3247,5670,30028,59432,3353
5003,1230,2472,3589,7291,2435,2669,3589,8693,15984,
3109,1174,1572,549.5,3295.5,1931,1587,549.5,4067.5,7363,
2396,10831,30698,20614.5,62143.5,11797,32605,20614.5,65016.5,127160,
1430,24296,51657,46157.5,122110.5,23397,55555,46157.5,125109.5,247220,
9079,46610,68219,16216.5,131045.5,45609,68337,16216.5,130162.5,261208,43
8613,763,310,0,1073,630,308,0,938,2011,
9962,553,207,0,760,680,207,0,887,1647,
9453,16078,8760,0,24838,20813,8792,0,29605,54443,
9569,24550,24080,28425.5,77055.5,26244,24083,28425.5,78752.5,155808,95
9455,1838,1735,542,4115,2661,1742,542,4945,9060,
2960,72,71,20.5,163.5,172,51,20.5,243.5,407,
9961,143355,60835,60001.5,264191.5,64450,60833,60001.5,185284.5,449476,
8821,2059,1226,0,3285,2423,1227,0,3650,6935,
6171,19902,31260,57140,108302,28126,31957,57140,117223,225525,
2054,2942,224,1961.5,5127.5,3291,224,1961.5,5476.5,10604,
1963,17440,16480,8480,42400,19535,16633,8480,44648,87048,
8045,390,626,229.5,1245.5,465,615,229.5,1309.5,2555,
9963,8984,1093,0,10077,1827,1085,0,2912,12989,
5251,15025,52628,36650,104303,15293,53224,36650,105167,209470,
5666,134140,189541,107841,431522,132536,192648,107841,433025,864547,202605
3003,544,298,386,1228,421,302,386,1109,2337,
5641,27356,41142,31150.5,99648.5,21333,49181,31150.5,101664.5,201313,3170
5547,40419,53482,87560,181461,39383,55799,87560,182742,364203,119973
2941,7441,4866,9974.5,22281.5,9958,5392,9974.5,25324.5,47606,
